,exp,run,snapshot,pixel_similarity,structural_similarity,mean_squared_error,class
48,baseline_exp_0,e,8,0.9761398654513888,0.9777032584481602,184.24614149305555,okay
49,baseline_exp_0,e,9,0.8417833116319444,0.943101046401894,329.1904871961806,okay
50,baseline_exp_0,f,0,1.0,1.0,0.0,okay
51,baseline_exp_0,f,1,0.97947265625,0.9931034240458908,37.96419460720486,okay
52,baseline_exp_0,f,2,0.9697970920138888,0.9852661948246104,162.3883260091146,okay
53,baseline_exp_0,f,3,0.9595556640625,0.97795639487463,204.653508843316,okay
54,baseline_exp_0,f,4,0.9661802842881944,0.9816297709895698,105.0467800564236,okay
55,baseline_exp_0,f,5,0.9354505750868056,0.9587086585957872,271.52971842447914,okay
56,baseline_exp_0,f,6,0.9223187934027778,0.9501245091387416,328.3739176432292,okay
57,baseline_exp_0,f,7,0.9383260091145832,0.9662378033111664,224.1392873806424,okay
58,baseline_exp_0,f,8,0.93178955078125,0.960166329318128,189.279700249566,okay
59,baseline_exp_0,f,9,0.9198209635416666,0.966546409764704,106.04369927300348,okay
60,baseline_exp_0,g,0,1.0,1.0,0.0,okay
61,baseline_exp_0,g,1,0.97947265625,0.9931034240458908,37.96419460720486,okay
62,baseline_exp_0,g,2,0.9697661675347222,0.9851565137758946,152.38264594184028,okay
63,baseline_exp_0,g,3,0.96297119140625,0.979792896279674,195.1328187391493,okay
64,baseline_exp_0,g,4,0.9597832573784724,0.9713584647903946,185.9530845811632,okay
65,baseline_exp_0,g,5,0.9445632595486112,0.9628088581203792,338.65927734375,okay
66,baseline_exp_0,g,6,0.9476980251736112,0.9624501246422617,268.67566758897567,okay
67,baseline_exp_0,g,7,0.9492868381076388,0.9632255261281248,321.7475694444444,okay
68,baseline_exp_0,g,8,0.9506591796875,0.9636798887681186,306.3718910047743,okay
69,baseline_exp_0,g,9,0.8161580403645833,0.9365320105895594,458.8994439019097,okay
70,baseline_exp_0,h,0,1.0,1.0,0.0,okay
71,baseline_exp_0,h,1,0.97947265625,0.9931034240458908,37.96419460720486,okay
72,baseline_exp_0,h,2,0.9630124240451388,0.9819862183902562,166.83000895182292,okay
73,baseline_exp_0,h,3,0.9549742296006944,0.9750456164786044,208.8700916883681,okay
74,baseline_exp_0,h,4,0.9382798936631944,0.9562784963090212,466.1332682291667,okay
75,baseline_exp_0,h,5,0.9398163519965278,0.9583867663326772,444.8735498046875,okay
76,baseline_exp_0,h,6,0.92858642578125,0.9486186517600634,523.1185961914063,okay
77,baseline_exp_0,h,7,0.9403645833333332,0.9551167473908664,439.3334255642361,okay
78,baseline_exp_0,h,8,0.939375,0.9550153977639456,342.53078911675345,okay
79,baseline_exp_0,h,9,0.9194395616319444,0.950047910256044,357.698974609375,okay
80,baseline_exp_0,i,0,1.0,1.0,0.0,okay
81,baseline_exp_0,i,1,0.9796940104166668,0.993326008078667,36.9545166015625,okay
82,baseline_exp_0,i,2,0.9667062717013888,0.9841441011694092,112.84867431640625,okay
83,baseline_exp_0,i,3,0.9590321180555555,0.977284131426084,280.916334906684,okay
84,baseline_exp_0,i,4,0.9442005750868055,0.9613290906628308,307.2302416992188,okay
